report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,reduction_type,reduction_technique_id,reduction_technique_name,year_installed,comment_by_facility
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,35,Community consultative committee,,On going on community engagement and maintaining of the community engagement register
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Ongoing - GLC monitoring for Ammonia 
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Pollution Control Devices,11,Wastewater treatment,2023.0,Install a Ultra Filtration system to reuse Ultra Filtration backwash water from the ROWTP pre treatment. Reduce the waste water generation
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,"Continued with the Ammonia Emissions Reduction EI

"
550094,2022/2023,516452,SA,SA0134,Adchem (Australia) Pty Ltd,ADCHEM (AUSTRALIA) PTY. LTD.,1813,Basic Inorganic Chemical Manufacturing,Cleaner Production Activities,36,Other modifications / practices,,Continue with implementing SCADA in the plant to improve monitoring
547944,2022/2023,517120,SA,SA0183,Adelaide Airport Aviation Fuel Facility,ADELAIDE AIRPORT LTD,3321,Petroleum Product Wholesaling,Pollution Control Devices,11,Wastewater treatment,1990.0,
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,On-going
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Pollution Control Devices,3,Wet scrubber,1982.0,Hydrator
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,23,Changed production schedules to minimise equipment/feedstock changeovers,,
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,Transportation of raw materials during day shifts only to mitigate road noise and traffic.
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,25,"Improved procedures for loading, unloading or transfer operations",,On-going. Silo blow back lines with isolation valves.
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Pollution Control Devices,1,Electrostatic precipitator,1952.0,"Year of installation for Kiln 1 electrofilter was 1952, year of installation for Kiln 2 electrofilter was 1980/81"
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Pollution Control Devices,2,Fabric filter/baghouse,2002.0,"Kiln 3 Exhaust 2002, Kiln 3 Cooler 1993."
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,"During 2013 the site purchased a portable fog/mist spray unit which  is used for suppressing dust plumes created during numerous activities on site
A road sweeper and water cart are used to minimise dust."
548038,2022/2023,514886,SA,SA0029,Angaston Special Products,ADELAIDE BRIGHTON CEMENT LIMITED,2031,Cement and Lime Manufacturing,Cleaner Production Activities,33,Use of cleaner raw materials,,
